gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Apbb1ip	0.52788388922231	7.80023657142153	113.80313423465	0.0	0.0	5806.60416828238	1.441812827015073
Wwtr1	0.778690562264302	7.80861658648844	93.6642725680039	0.0	0.0	4059.98605410794	1.7155730551722181
Reln	2.43997545421061	7.90801528644759	82.8562282367099	0.0	0.0	3224.50685726057	5.426324986354636
Ptprz1	0.757231159669973	7.83076961910863	55.3723580361095	0.0	0.0	1482.28588379205	1.6902435709244716
Unc13c	0.699012334652375	7.82995953140944	45.0757537317441	0.0	0.0	988.485932167843	1.6233930414666282
Ccdc136	1.66710244436812	8.19723696749244	41.8884289943202	0.0	0.0	854.648666462286	3.1757612234281334
Sema3c	1.33421349345196	7.91550054022659	41.3867394492678	0.0	0.0	834.420222151886	2.5213798753654215
Otx1	0.563693121280901	7.83449792320253	40.9281264130211	0.0	0.0	816.129235765002	1.4780479991115092
Ust	1.78469592897612	8.01743840834938	40.2460080547384	0.0	0.0	789.279502171111	3.4454583769282334
Gpr149	0.645458842649635	7.84244746131771	38.6744438725973	6e-323	8.468e-320	729.042493183395	1.5642367055798136
Cdh4	1.47915134293767	8.05867180101171	36.2121497381307	7.681540859678171e-284	8.532911638292499e-281	639.247093646468	2.787846915347197
Smoc1	0.540387869571242	7.82789446764268	35.5012285411351	5.19722584952036e-273	5.469396361113669e-270	614.368477613331	1.4543634714007665
Npr3	0.659783297835351	7.85928678355107	34.3236572912621	1.59877410325945e-255	1.52226134260346e-252	574.197936999095	1.579845302878919
Cyp7b1	0.905592829083311	7.91351199246486	33.9904881901887	1.1200390269366e-250	1.01796274289078e-247	563.068179072536	1.8733141148619956
Grin3a	0.898626590762901	7.90119788435043	30.6836687225836	4.77085221546321e-205	3.97471625200779e-202	458.269804984873	1.8642903806921194
Hs6st2	1.12952088093608	8.05400978554495	29.6203462544761	2.48242736711809e-191	1.9854454082210503e-188	426.771551019118	2.187860693259908
Fam20a	0.866431324893338	7.90287680773097	29.4661063104132	2.21648003432179e-189	1.7045583956255401e-186	422.29193536884	1.8231475492035605
Zfp385d	0.923557322975883	7.94518912245916	28.1582422761407	3.0960848754414e-173	2.29282285497966e-170	385.219774350555	1.8967865303724811
Zfp462	1.11315869439036	8.12169381903728	28.0929484981577	1.89771203560563e-172	1.3551697197119502e-169	383.411827060325	2.1631874614065434
Prex2	0.639426602208049	7.86706290851269	26.8932053542853	2.69652149843651e-158	1.79723157870793e-155	350.918731066269	1.5577099259220653
Sgcd	0.902946866010581	7.94399989759483	26.6551812580503	1.4699154293098902e-155	8.90635121486404e-153	344.636429068822	1.8698815271058657
