gene
Clstn2
Dcc
Dgkb
Epha3
Foxp2
Grm8
Lrrtm4
Ncam2
Pou6f2
Rbfox1
Samd5
Sash1
Sema3e
Slc35f1
Sox5
Zfp804a
Zfp804b
