logFC	AveExpr	t	P.Value	adj.P.Val	B
Foxp2	1.19948690494892	8.50017472250033	82.627343556772	0	0	3211.02965577203
Cacna2d3	-1.42016870187918	10.2604805241896	-79.975597615216	0	0	3018.23631588142
Zfpm2	1.12277243216122	8.72378192335345	74.2433405273404	0	0	2618.75800001599
Rapgef5	-0.941244418993662	9.4970541607	-71.3810934301768	0	0	2428.40788701601
Pdzrn3	-1.25274281666708	9.74245010002301	-71.1347492108814	0	0	2412.31488472098
Tle4	0.73826541630627	8.57086470661509	68.4381047526581	0	0	2239.20981359988
Nxph1	0.730750014184027	8.22804003255919	66.7029152482254	0	0	2130.81514511631
Trabd2b	0.414845172615611	7.96581472053312	65.4186879106184	0	0	2052.12119934596
Cdh18	0.853587532671522	9.83987399385546	65.3291630749138	0	0	2046.68463137493
Col24a1	0.347299245488408	7.92476585578991	63.9239013497307	0	0	1962.1805958842
Kcnip1	0.189539721319396	7.84492508146003	63.4195912854473	0	0	1932.24132000103
Hs3st4	1.35718197122146	9.389549297285	63.2014467424384	0	0	1919.35439695857
Cdh10	-0.751030641301977	9.07101382784148	-62.7738146357162	0	0	1894.20405365474
Auts2	-0.683870044501063	10.6487711376417	-62.1781624967717	0	0	1859.41874421017
Sntb1	0.136831829282189	7.82154436658128	60.5697266069213	0	0	1766.93455608029
Ntm	-0.940165906831245	11.2228393056144	-59.410360179981	0	0	1701.59112435314
Kcnq5	-0.899525072898378	11.3197533697068	-57.6196728324659	0	0	1602.85744792597
Etl4	0.908820330548163	10.6379265211407	57.5367844044848	0	0	1598.35205766842
Schip1	-1.24214039627606	10.7183192760518	-57.4463319409582	0	0	1593.44184931522
Tmem132d	-0.716004533613956	10.4841307159287	-57.1357389130712	0	0	1576.63470593696
Meis2	0.626109836316022	8.55457313356994	56.959838684419	0	0	1567.15190955834
Ptprt	-0.879177450943507	9.56694053017231	-56.6833284866759	0	0	1552.29803531591
Nfia	0.667470028005114	8.62848157746528	56.4925534405345	0	0	1542.08730942102
AC125757.1	-0.919003033764106	9.73587236947507	-55.4764148371235	0	0	1488.21966355765
Syt6	0.317264519639624	7.97179051163688	54.939764947975	0	0	1460.12414222308
Sema5a	0.636859844696284	8.43949417076511	53.8632416850177	0	0	1404.5043719582
Myrip	-0.484681513633843	8.87734579488144	-53.2212844522288	0	0	1371.80945462791
Tenm3	-0.737715523089017	9.27518907747756	-52.7783029205789	0	0	1349.45477622545
Mgat4c	0.522267919226872	8.37741068760005	52.4823096699092	0	0	1334.61200151081
Ucma	0.0727537158485942	7.80961675816851	51.9045294332348	0	0	1305.85691509667
Efcab3	0.224233817898159	7.89779575748727	51.3035597983422	0	0	1276.25477781059
Fras1	-0.548486091204073	8.60828754933288	-50.4999020919456	0	0	1237.1594349067
Cntn5	-0.903343581032198	10.3792818468949	-50.4139114399503	0	0	1233.00956528166
Srgap3	-0.526490939868678	8.84822636777125	-50.1521439667738	0	0	1220.41677985082
Grm7	-0.735152657077458	10.8188024374414	-50.0704860373481	0	0	1216.50071368396
Ptprk	-0.472078363601554	8.6210489279117	-49.9442845702307	0	0	1210.45995154019
Cnih3	-0.342661114591498	8.15066193209473	-49.3587538106391	0	0	1182.61550548182
Scube1	-0.388386536782209	8.21255718565508	-49.0772360577023	0	0	1169.33527399839
Cdh11	0.560099894074721	9.07438363505912	48.4442607029603	0	0	1139.73022204475
Cobl	-0.492305839962265	9.39014059487529	-48.2819709450537	0	0	1132.19662144153
Epha4	-0.453373641899587	9.0070626542084	-47.8619925665804	0	0	1112.80896862899
Fat3	-0.580473637688547	9.44199115539439	-47.540870540308	0	0	1098.09015979768
Srrm4	0.419865540552253	8.89303979991656	47.0561891614978	0	0	1076.04767132541
Satb2	-0.451618423379555	9.240324739032	-46.7104909524636	0	0	1060.45341677377
Frmpd4	0.548764021674362	10.9921304461333	46.7001990846693	0	0	1059.9907860883
