logFC	AveExpr	t	P.Value	adj.P.Val	B
Apbb1ip	0.52788388922231	7.80023657142153	113.80313423465	0	0	5806.60416828238
Wwtr1	0.778690562264302	7.80861658648844	93.6642725680039	0	0	4059.98605410794
Reln	2.43997545421061	7.90801528644759	82.8562282367099	0	0	3224.50685726057
Ptprz1	0.757231159669973	7.83076961910863	55.3723580361095	0	0	1482.28588379205
Eaf2	0.242589925480495	7.79946325585894	55.2846325214848	0	0	1477.69163928921
Itga1	0.355434112205806	7.80544094574447	46.8173195075524	0	0	1065.4682500682
Unc13c	0.699012334652375	7.82995953140944	45.0757537317441	0	0	988.485932167843
Ccdc136	1.66710244436812	8.19723696749244	41.8884289943202	0	0	854.648666462286
Sema3c	1.33421349345196	7.91550054022659	41.3867394492678	0	0	834.420222151886
Otx1	0.563693121280901	7.83449792320253	40.9281264130211	0	0	816.129235765002
Pros1	0.26822706941183	7.80430084409395	40.438670434504	0	0	796.819995009968
Ust	1.78469592897612	8.01743840834938	40.2460080547384	0	0	789.279502171111
Nacc2	0.307731919198944	7.8098719558763	40.0810577292125	0	0	782.850559523574
Gpr149	0.645458842649635	7.84244746131771	38.6744438725973	5.92878775009496e-323	8.46779110407312e-320	729.042493183395
Tspan8	0.0833457550115622	7.79668118396431	37.8675004390516	7.51891918267183e-310	1.00227192705015e-306	698.996471961717
Igsf9	0.270666786880454	7.80718080006864	36.7736126769154	1.53992537867638e-292	1.92442549666464e-289	659.227886238082
Olfml2b	0.212881654377182	7.80339607011168	36.3870428466099	1.54793612160662e-286	1.82064604420732e-283	645.43955616255
Cdh4	1.47915134293767	8.05867180101171	36.2121497381307	7.68154085967817e-284	8.5329116382925e-281	639.247093646468
Smoc1	0.540387869571242	7.82789446764268	35.5012285411351	5.19722584952036e-273	5.46939636111367e-270	614.368477613331
Frmpd1	0.413026110820212	7.82466263745733	34.8530266951907	2.58182566383714e-263	2.58118020742118e-260	592.095830752238
