"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","GRIK1","IL1RAPL2","NPY","SCHIP1","NRG1","NELL1","GRM8","SOX6","LHFPL3","UNC5D","CACNA2D3","SST","RPS6KA2","NEGR1","LARGE1","MPPED2","NOS1","PCDH7","GRM1","RBFOX1","PTPRT","PDE4B","XYLT1","SPOCK1","PDE4D","RALYL","TMTC1","TACR1","PDZRN4","GPC6","GRM7","ELL2","RIT2","PDE1A","BCL11A","FAT3","MAML2","LRP8","PCSK2","IQCJ","CA10","ITPR2","PAM","PLCB1","ROBO1","GULP1","XKR4","TRPC6","CCSER1","CTTNBP2","GRIA3","MPDZ","GRK5","DGKG","NCAM2","CDH4","MCUB","NXPH2","KCNB2","EPB41L2","SRGAP1","KIF26B","MARCHF4","PARD3","CDH8","GRIK3","COL24A1","DMD","PLXNA2","RUNX1T1","CADM1","NKAIN2","CACNA1E","SCN9A","RYR2","GALNT10","BRINP3","PCSK5","GALNT18","RIMS2","TMEFF2","SHISA6","TOX","FNDC3A","AGBL4","NTM","CARMIL1","TENM3","CUX1","GRIN2A","GRK4","PALM2AKAP2","EPHA6","NALF1","CADPS","ENPP1","RAPGEF4","UNC5C","BCL11B","DNAH14","GAP43","EPHA5","DKK2","PIP5K1B","PACRG","RBMS3","KCNIP1","PTPRD","CAMK4","SORCS2","NOS1AP","PTPRM","SIPA1L1","GRIA1","SIDT1","ARHGAP44","ANOS1","TRPM3","NRXN3","ZNF385D","L3MBTL4","HTR4","GUCY1A2","COL19A1","TCF4","KCTD16"
"GO:MF","transmembrane signaling receptor activity","GO:0004888","false","0.00017291828832946595","3.7621590720786298","1269","120","24","20212","IDA,IBA,TAS,IEA","TAS,IEA","TAS",,,,"IMP,IBA,IEA",,,"IBA,IEA",,,,,,,,,"IDA,IBA,TAS,IEA",,"IDA",,,,,,,"IMP,IBA,TAS,IEA",,,"IDA,IBA,IEA",,,,,,,"ISS,TAS,IEA",,,,,,,"IDA,IEA",,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,TAS,IEA",,,"ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,"IBA,IEA",,,,,"ISS,IBA,TAS,IEA",,,,"ISS,IBA,NAS,IEA",,,,,,"TAS",,"NAS",,"IDA",,"IDA,IBA,TAS,IEA",,,,,"NAS",,,"IDA,IBA,TAS,IEA",,,,
"GO:MF","gated channel activity","GO:0022836","false","0.00018621485013670065","3.729985688149202","315","120","12","20212","IDA,IBA,TAS,IEA",,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,ISS,IBA,IEA",,,,,,,"IDA,IBA,TAS,IEA","IBA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,"IBA",,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,,,,,
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.0006807119128487228","3.1670366489264836","569","120","15","20212","IDA,IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IBA,TAS,IEA",,,"IDA,IBA",,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,IBA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,"IDA,IBA,IEA",,,,"IDA,TAS,IEA",,,,,,,,
"GO:MF","molecular transducer activity","GO:0060089","false","0.0008704358261963166","3.0602632421872955","1491","120","25","20212","IDA,IBA,TAS,IEA","TAS,IEA","TAS",,,,"IMP,IBA,IEA",,,"IBA,IEA",,,,,,,,,"IDA,IBA,TAS,IEA",,"IDA",,,,,,,"IMP,IBA,TAS,IEA",,"NAS","IDA,IBA,IEA",,,,,,,"ISS,TAS,IEA",,,,,,,"IDA,IEA",,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,TAS,IEA",,,"ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,"IBA,IEA",,,,,"ISS,IBA,TAS,IEA",,,,"ISS,IBA,NAS,IEA",,,,,,"TAS",,"NAS",,"IDA",,"IDA,IBA,TAS,IEA",,,,,"TAS,NAS",,,"IDA,IBA,TAS,IEA",,,,
"GO:MF","signaling receptor activity","GO:0038023","false","0.0008704358261963166","3.0602632421872955","1491","120","25","20212","IDA,IBA,TAS,IEA","TAS,IEA","TAS",,,,"IMP,IBA,IEA",,,"IBA,IEA",,,,,,,,,"IDA,IBA,TAS,IEA",,"IDA",,,,,,,"IMP,IBA,TAS,IEA",,"NAS","IDA,IBA,IEA",,,,,,,"ISS,TAS,IEA",,,,,,,"IDA,IEA",,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,TAS,IEA",,,"ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,"IBA,IEA",,,,,"ISS,IBA,TAS,IEA",,,,"ISS,IBA,NAS,IEA",,,,,,"TAS",,"NAS",,"IDA",,"IDA,IBA,TAS,IEA",,,,,"TAS,NAS",,,"IDA,IBA,TAS,IEA",,,,
"GO:MF","neurotransmitter receptor activity","GO:0030594","false","0.0010528073623147624","2.9776510866846264","100","120","7","20212","IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,"IBA",,,,
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","false","0.00118044710440384","2.927953468797209","445","120","13","20212","IDA,IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IBA,TAS,IEA",,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,IBA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,,,,,"IDA,TAS,IEA",,,,,,,,
"GO:MF","3',5'-cyclic-AMP phosphodiesterase activity","GO:0004115","true","0.0016144774654454246","2.791968012400306","18","120","4","20212",,,,,,,,,,,,,,,,,,,,,,"IDA,IGI,ISS,IBA,TAS,IEA",,,"IDA,IGI,ISS,IBA,TAS,IEA",,,,,,,,,"IDA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","postsynaptic neurotransmitter receptor activity","GO:0098960","false","0.0020869488080454347","2.680488203860305","72","120","6","20212","IBA",,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,
"GO:MF","calcium ion binding","GO:0005509","true","0.002968883870110396","2.5274067897925097","726","120","16","20212",,,,,,"IEA",,,,,,,,,,,,"IEA",,,,,,"IDA,IEA",,,,,,,"IDA",,,,,"IEA",,"IEA",,,,"IBA","ISS","IEA",,,,,,,,,,"IEA",,"IBA,IEA",,,,,,,,,"IBA,IEA",,,,,,,,"IEA",,"IEA",,,,,,,,,,,,,,,,,,,,,"ISS",,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,
