"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","DOCK5","RNF220","PLP1","TF","DAAM2","CTNNA3","CLDN11","MBP","KCNH8","ARAP2","PLEKHH1","PHLPP1","PIP4K2A","SLC44A1","PDE8A","TMTC2","SLC39A11","NFIA","QKI","DIP2B","SLC1A2","DLG1","ELMO1","FBXL7","DOCK10","FMNL2","COBL","NCKAP5","UNC5C","WWOX","PCDH9","NRG1","NFIB","ADARB2","IL1RAPL1","PDE4B","FGF13","DSCAM","CDH13"
"GO:BP","multicellular organismal process","GO:0032501","false","0.024617998227982184","1.6087472639102118","7669","38","27","21031","IMP,IEA","IEA","HEP,IBA,TAS,IEA","IEA","IDA,ISS,IBA,IEA","IMP","IEA","IDA,HEP,IBA,TAS,IEA",,,,"IEA",,"NAS",,,,"IEA","IDA,ISS,IEA","ISS,IEA","ISS,NAS,IEA","ISS,IEA",,,"ISS,IBA,IEA",,"ISS,IEA",,"IDA,ISS,IBA,TAS,IEA","ISS,IEA","IEA","IDA,ISS,IBA,TAS,IEA","IMP,ISS,IEA",,"IDA,IMP,ISS","IMP,ISS,IEA","ISS,TAS,IEA","IDA,ISS,IBA,TAS,IEA","IDA,IBA"
"GO:BP","regulation of nervous system development","GO:0051960","false","0.02700725727415103","1.5685195184109673","463","38","7","21031",,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,"ISS,IEA","ISS,IEA",,"IEA",,,,,,,,,,,,,"ISS",,"ISS","IDA,IEA",
"GO:BP","regulation of cardiac muscle cell action potential","GO:0098901","true","0.027871961370207792","1.5548324685925377","28","38","3","21031",,,,,,"IMP",,,,,,,,,,,,,,,,"ISS,IEA",,,,,,,,,,,,,,,"ISS,IEA",,
"GO:BP","neuron projection morphogenesis","GO:0048812","false","0.029260401371812385","1.5337197208502242","655","38","8","21031",,,,,,,,,,,,,,,,,,,,"ISS,IEA",,,,,"ISS,IBA,IEA",,"ISS,IEA",,"ISS,IBA,TAS,IEA",,,,"ISS,IEA",,"ISS",,"ISS","IDA,ISS,IBA,IEA",
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","false","0.034802305658889754","1.4583919830142544","671","38","8","21031",,,,,,,,,,,,,,,,,,,,"ISS,IEA",,,,,"ISS,IBA,IEA",,"ISS,IEA",,"ISS,IBA,TAS,IEA",,,,"ISS,IEA",,"ISS",,"ISS","IDA,ISS,IBA,IEA",
"GO:BP","cell projection morphogenesis","GO:0048858","false","0.036705677385446965","1.435266756824863","676","38","8","21031",,,,,,,,,,,,,,,,,,,,"ISS,IEA",,,,,"ISS,IBA,IEA",,"ISS,IEA",,"ISS,IBA,TAS,IEA",,,,"ISS,IEA",,"ISS",,"ISS","IDA,ISS,IBA,IEA",
"GO:BP","regulation of striated muscle contraction","GO:0006942","false","0.0430883470367215","1.3656401660787256","96","38","4","21031",,,,,,"IMP",,,,,,,,,,,,,,,,"ISS,IEA",,,,,,,,,,,,,,"ISS,IEA","ISS,IEA",,
"GO:BP","cell motility","GO:0048870","true","0.04722789172773127","1.3258014410726537","1709","38","12","21031","IMP,IBA,IEA",,"IEA","IEA","IDA,IMP","IBA",,,,,,,,,,,,,,,,,"IGI,IBA",,"IDA,IBA","IBA",,,"IEA",,,,,,,"ISS,IEA","ISS,IEA",,"IDA"
"GO:BP","neuron development","GO:0048666","false","0.04874662452457283","1.312055451782998","1167","38","10","21031",,"IEA","IBA,IEA",,,,,,,,,,,,,,,,,"ISS,IEA",,,,,"ISS,IBA,IEA",,"ISS,IEA",,"ISS,IBA,TAS,IEA",,,,"ISS,IEA",,"ISS",,"ISS","IDA,ISS,IBA,IEA",
"GO:BP","neuron differentiation","GO:0030182","false","0.048747096690475285","1.312051245172697","1431","38","11","21031",,"IEA","IBA,IEA",,,,,,,,,,,,,,,"IEA",,"ISS,IEA",,,,,"ISS,IBA,IEA",,"ISS,IEA",,"ISS,IBA,TAS,IEA",,,,"ISS,IEA",,"ISS",,"ISS","IDA,ISS,IBA,IEA",
"GO:CC","neuron projection","GO:0043005","true","6.529802104559313e-8","7.185099980470747","1334","39","16","22097",,,,,,,"IDA","IBA,IEA",,,,,"IEA",,,,,,,"ISS,IEA","IEA","IBA,IEA",,,"ISS,IEA",,"ISS,IBA,IEA",,"ISS,IEA",,"IEA",,"ISS,IEA",,"ISS,IEA","IEA","ISS,IEA","ISS,IBA,IEA","IDA"
"GO:CC","axon","GO:0030424","false","1.817895308504978e-7","6.74043113115133","656","39","12","22097",,,,,,,"IDA","IBA,IEA",,,,,,,,,,,,"ISS,IEA","IEA","IEA",,,,,"ISS,IBA,IEA",,"ISS,IEA",,"IEA",,"ISS,IEA",,"IEA",,"ISS,IEA","ISS,IBA,IEA",
"GO:CC","cell projection","GO:0042995","false","7.603628080793124e-7","6.118979134101374","2389","39","19","22097","IEA",,,,,"IEA","IDA","IBA,IEA",,,,,"IEA",,,,,,,"ISS,IEA","ISS,IEA","IBA,IEA",,,"ISS,IEA",,"ISS,IBA,IEA",,"ISS,IEA","IDA","IEA",,"ISS,IEA",,"ISS,IEA","IEA","ISS,IEA","ISS,IBA,IEA","IDA"
"GO:CC","cell junction","GO:0030054","true","0.000001954798522779682","5.708897997835432","2230","39","18","22097","IEA",,"IEA",,,"IDA,IBA,IEA","IDA,ISS,IBA,IEA","IEA",,,,,,,,,,"IDA","IEA",,"IDA,IEA","IDA,IBA,TAS,NAS,IEA",,,"ISS,IEA",,,,"IEA",,"IEA","IDA,IMP",,,"IDA,IMP,NAS","IEA","ISS,IEA","ISS,IEA","HDA,IBA,IEA"
"GO:CC","plasma membrane bounded cell projection","GO:0120025","false","0.0000027199409649839075","5.5654405220172585","2277","39","18","22097",,,,,,"IEA","IDA","IBA,IEA",,,,,"IEA",,,,,,,"ISS,IEA","ISS,IEA","IBA,IEA",,,"ISS,IEA",,"ISS,IBA,IEA",,"ISS,IEA","IDA","IEA",,"ISS,IEA",,"ISS,IEA","IEA","ISS,IEA","ISS,IBA,IEA","IDA"
"GO:CC","synapse","GO:0045202","false","0.0011712945283373912","2.931333885501284","1468","39","12","22097",,,"IEA",,,,,"IEA",,,,,,,,,,,"IEA",,"IDA,IEA","IDA,IBA,IEA",,,"ISS,IEA",,,,"IEA",,,"IDA,IMP",,,"IDA,IMP,NAS","IEA",,"ISS,IEA","IEA"
"GO:CC","cell-cell contact zone","GO:0044291","true","0.0021004750424499373","2.6776824743214984","75","39","4","22097",,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,"TAS",,,,,,,,,"IEA",,,,,,"ISS,IEA",,
"GO:CC","dendrite","GO:0030425","false","0.00244793449435789","2.611200207898836","622","39","8","22097",,,,,,,,,,,,,,,,,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,"IEA",,,,,,"ISS,IEA","IEA","ISS,IEA","ISS,IEA",
"GO:CC","dendritic tree","GO:0097447","false","0.0025056268194446865","2.6010836110451634","624","39","8","22097",,,,,,,,,,,,,,,,,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,"IEA",,,,,,"ISS,IEA","IEA","ISS,IEA","ISS,IEA",
"GO:CC","growth cone","GO:0030426","false","0.002626544158900807","2.580615293202494","169","39","5","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,IEA",,"ISS,IEA",,"IEA",,,,,,"ISS,IEA","ISS,IEA",
