"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","KCNT2","LAMA3","DSCAM","GALNT13","CALB2","IQGAP2","ARPP21","OLFM3","LHFPL6","GRM7","VWC2L","MAPK4","B4GALT6","ADARB2","SEZ6L","SORCS3","AK5","SOBP","CNTN6","LRFN2","NRXN1","CSMD1","PTPRE","MARCHF1","TSHZ2","SLC24A3","PLD5","NR3C2","RYR3","STARD13","L3MBTL4","CRIM1","NFIX","SYNPR","CADM2","NCAM1","CDH10","NEDD4L","FAT3","ZNF804A","PCSK2","TTC28","DOCK10","ZBTB16","NCKAP5","NTRK3","LRP1B","KCNH7","THSD7A","FRMD4A","ASIC2","ERBB4","GALNTL6","NLGN1","KCNIP4","NELL1","RGS6","NFIB","PDE4B","ROBO1","PLXNA4","HS6ST3","NCAM2"
"GO:BP","anatomical structure morphogenesis","GO:0009653","false","0.017541045841041727","1.755944516474383","2684","60","21","21031",,"IEP","IDA,ISS,IBA,IEA",,,,,"IEA",,,,,"ISS,IEA",,,,,"IBA,IEA","IBA",,"ISS,TAS,NAS,IEA","IEA",,,,,,,,"IMP,IGI",,,,,,"ISS,IEA","IBA","IDA,IBA","IEA",,,,"ISS,IBA,IEA","IEA",,,,,"IEA",,,"ISS,IEA",,"IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,IMP,ISS,IEA","ISS,IBA,IEA",,
"GO:BP","cellular anatomical entity morphogenesis","GO:0032989","false","0.02452349302364684","1.6104176706604652","785","60","11","21031",,,"IDA,ISS,IBA,IEA",,,,,,,,,,"ISS,IEA",,,,,,"IBA",,"TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA",,,,,"ISS,IBA,IEA",,,,,,,,,,,"IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,
"GO:BP","neuron cell-cell adhesion","GO:0007158","true","0.025082875656648674","1.6006226747702745","16","60","3","21031",,,,,,,,,,,,,,,,,,,,,"ISS,TAS,NAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,NAS,IEA",,,,,,,,,"TAS"
"GO:BP","regulation of neuromuscular synaptic transmission","GO:1900073","false","0.04993267096521419","1.3016152023320575","3","60","2","21031",,,,,,,,,,,,,,,,,,,,,"NAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NAS",,,,,,,,,
"GO:BP","positive regulation of neuromuscular synaptic transmission","GO:1900075","true","0.04993267096521419","1.3016152023320575","3","60","2","21031",,,,,,,,,,,,,,,,,,,,,"NAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NAS",,,,,,,,,
"GO:CC","neuron projection","GO:0043005","true","1.0776604466178801e-7","6.967518056765076","1334","63","20","22097",,,"ISS,IBA,IEA",,"IBA",,,,,"IDA,ISS",,,,,,,,,"IBA",,"ISS",,,,,,,,,,,,,"IEA","IEA",,,,"IEA","IDA,IEA","IBA,IEA",,"ISS,IEA",,,"IBA",,,,,"IEA",,,"ISS","IEA",,"IBA","ISS,IEA","IEA","IBA,IEA",,,"IEA"
"GO:CC","synapse","GO:0045202","false","0.0000037235511267345095","5.429042678639133","1468","63","19","22097",,,"ISS,IEA",,"IBA,IEA",,,"IEA",,"ISS","IEA",,,,,"IEA",,,"IEA","IEA","ISS,TAS,NAS,IEA",,,,,,,,,,,,,"IBA,IEA","IEA",,"IEA",,,"IDA,IEA",,,"ISS,IEA",,,,,,,,"IEA","ISS,IEA",,"ISS,IBA,TAS,NAS,IEA",,,,,"IEA",,"IEA",,
"GO:CC","excitatory synapse","GO:0060076","false","0.000009909585933118213","5.003944491904113","67","63","6","22097",,,,,"IEA",,,,,,,,,,,,,,"IEA",,"NAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TAS,NAS",,,,,"IEA",,"IEA",,
"GO:CC","somatodendritic compartment","GO:0036477","false","0.00002372188913157483","4.624850728176698","848","63","14","22097",,,"ISS,IEA",,"IBA",,,,,"IDA,ISS",,,,,"IBA",,,,,,"ISS,IEA",,,,,,,,,,,,,,"IBA",,,,"IEA","IDA,IEA","IEA",,"ISS,IEA",,,,,,,,"IEA",,,"ISS","IEA",,,,"IEA",,,,
"GO:CC","cell projection","GO:0042995","false","0.00008770808709692767","4.056960360799917","2389","63","22","22097",,,"ISS,IBA,IEA",,"IBA","IDA,IEA",,,,"IDA,ISS",,,,,,,,,"IBA",,"ISS,IEA",,,,,,,,,,,,,"IEA","IEA",,,,"IEA","IDA,IEA","IBA,IEA",,"ISS,IEA",,,"IBA",,,"IEA",,"IEA",,,"ISS","IEA",,"IBA","ISS,IEA","IEA","IBA,IEA",,,"IEA"
"GO:CC","membrane","GO:0016020","true","0.000090585909996107","4.0429393485352865","9864","63","48","22097","IDA,IBA,IEA","IEA","ISS,IBA,TAS,IEA","TAS,IEA",,"TAS,IEA",,"IEA","IBA,IEA","IDA,IMP,ISS,TAS,NAS,IEA","IBA,IEA",,"TAS,IEA",,"IEA","NAS,IEA",,,"IBA,IEA","TAS,IEA","IDA,ISS,TAS,IC,IEA","IEA","IDA,IEA","IDA,ISS,IBA,IEA",,"IDA,RCA,TAS,IEA","IEA","IEA","ISS,IBA,TAS,IEA","IEA",,"IBA,TAS,IEA",,"IBA,IEA","IBA,TAS,IEA","IDA,HDA,TAS,IEA","IBA,TAS,IEA","IDA","IEA","IDA","IDA,IBA",,"HDA",,,"TAS,IEA","IBA,IEA","TAS,IEA","IDA,IBA,IEA",,"TAS,IEA","IDA,ISS,IBA,TAS,IEA","IEA","IMP,ISS,TAS,NAS,IEA","IDA,ISS,IBA,TAS,IEA",,"IDA,TAS,IEA",,"ISS,IEA","IDA,TAS,IEA","TAS,IEA","IEA","IDA,TAS,IEA"
"GO:CC","cell junction","GO:0030054","false","0.0001248577948539061","3.903584339525162","2230","63","21","22097",,"IEA","ISS,IEA",,"IBA,IEA",,,"IEA",,"ISS","IEA",,,,,"IEA",,,"IEA","IEA","ISS,TAS,NAS,IEA",,,,,,,,,,,,,"IBA,IEA","IEA",,"IBA,IEA",,,"IDA,IEA",,,"ISS,IEA",,,,,,,"IBA,IEA","IEA","ISS,IEA",,"ISS,IBA,TAS,NAS,IEA",,,,,"IEA",,"IEA",,
