"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","KCNT2","LAMA3","DSCAM","GALNT13","CALB2","IQGAP2","ARPP21","OLFM3","LHFPL6","GRM7","VWC2L","MAPK4","B4GALT6","ADARB2","SEZ6L","SORCS3","AK5","SOBP","CNTN6","LRFN2","NRXN1","CSMD1","PTPRE","MARCHF1","TSHZ2","SLC24A3","PLD5","NR3C2","RYR3","STARD13","L3MBTL4","CRIM1","NFIX","SYNPR","CADM2","NCAM1","CDH10","NEDD4L","FAT3","ZNF804A","PCSK2","TTC28","DOCK10","ZBTB16","NCKAP5","NTRK3","LRP1B","KCNH7","THSD7A","FRMD4A","ASIC2","ERBB4","GALNTL6","NLGN1","KCNIP4","NELL1","RGS6","NFIB","PDE4B","ROBO1","PLXNA4","HS6ST3","NCAM2"
"GO:CC","GABA-ergic synapse","GO:0098982","false","0.026368809980682938","1.5789094693906593","84","63","4","22097",,,,,,,,,,,,,,,,,,,,,"NAS,IEA",,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,"IEA",,"NAS",,,,,,,,,
"GO:CC","protein complex involved in cell-cell adhesion","GO:0098635","true","0.0321940382363605","1.4922245444771365","6","63","2","22097",,,,,,,,,,,,,,,,,,,,,"EXP,ISO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EXP,ISO",,,,,,,,,
"GO:CC","dendritic spine","GO:0043197","false","0.0355528257108371","1.449125876175997","172","63","5","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IEA",,,"ISS,IEA",,,,,,,,"IEA",,,"ISS",,,,,"IEA",,,,
"GO:CC","postsynaptic membrane","GO:0045211","false","0.037818746026262","1.4222928753562207","278","63","6","22097",,,,,,,,,,"ISS",,,,,,"IEA",,,,"IEA",,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,"ISS,IEA",,"ISS,TAS",,,,,,,,,
"GO:CC","neuron spine","GO:0044309","false","0.03959057014035071","1.4024082439657717","176","63","5","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IEA",,,"ISS,IEA",,,,,,,,"IEA",,,"ISS",,,,,"IEA",,,,
"KEGG","Virion - Ebolavirus and Lyssavirus","KEGG:03265","false","0.007000905086542887","2.1548458101740935","6","24","2","8484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KEGG",,,,,,,,,,,,,,,,,,,,,,,,,,,"KEGG"
"KEGG","Cell adhesion molecules","KEGG:04514","false","0.04997992140153234","1.30120443118091","153","24","4","8484",,,,,,,,,,,,,,,,,,,,,"KEGG",,,,,,,,,,,,,,,"KEGG",,,,,,,,,,,,,,,,,,"KEGG",,,,,,,,,"KEGG"
"TF","Factor: MAZ; motif: GGGGGAGGGGGNGRGRRRGNRG","TF:M09984","false","0.0004332981941883104","3.3632131209256677","9841","63","51","20045","TF",,"TF","TF","TF","TF",,,"TF","TF","TF","TF","TF",,"TF","TF","TF","TF",,,"TF","TF",,,"TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF",,"TF","TF","TF","TF",,"TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF",,"TF",,"TF"
"TF","Factor: ETF; motif: GVGGMGG; match class: 1","TF:M00695_1","false","0.007134315810698176","2.1466476699054553","7249","63","41","20045",,"TF","TF","TF","TF","TF",,"TF","TF","TF",,"TF","TF","TF","TF","TF","TF","TF",,"TF","TF",,,,,"TF","TF","TF",,"TF","TF","TF",,,"TF","TF",,"TF",,"TF","TF","TF","TF",,,"TF","TF",,"TF",,"TF",,"TF",,,"TF","TF","TF",,,"TF","TF","TF"
"TF","Factor: CSX; motif: NKRAGWGS","TF:M10008","false","0.0478389518593815","1.3202183442093094","10388","63","49","20045","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF",,"TF","TF","TF","TF","TF","TF","TF",,,,"TF",,"TF","TF","TF","TF","TF","TF","TF",,"TF","TF","TF","TF","TF","TF","TF",,"TF","TF",,"TF","TF",,"TF",,"TF","TF","TF","TF","TF","TF",,"TF","TF",,"TF","TF",,,"TF","TF"
"CORUM","NLGN1-NRXN1 complex","CORUM:7344","false","0.002391613691618945","2.621308968975949","2","11","2","3383",,,,,,,,,,,,,,,,,,,,,"CORUM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORUM",,,,,,,,,
