"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","PCSK5","ZFHX3","COL25A1","HCRTR2","MDFIC","ADAMTSL1","NFIA","SEMA3E","LRMDA","DLC1","CNTNAP4","TENM1","COL19A1","ADRA1A","NKAIN1","SDK2","MCTP2","HS3ST4","KIAA1217","TLE4","ARSJ","PITPNC1","RYR3","ADAMTSL3","XKR4","RERG","SEMA3A","GARNL3","DSCAML1","KCNK2","TENM3","SEZ6L","ASTN2","AMOTL1","MCC","GRIK3","GAS7","DPP4","RALGPS2","SCN9A","NKAIN3","SORCS3","SGCZ","DIP2A","FGFR1","DCBLD1","DGKG","RXFP1","ZNF385D","ITPR2","DGKH","NPFFR2","TNIK","FRMD3","KCNMB4","GRM5","ASAP2","EPHA5","MCTP1","CNTNAP5","CAMK2D","PTCHD4","ZFPM2","CELF2","LRIG1","MDGA2","CLMP","PCDH15","ROBO2","RNF130","PCDH17","FKBP5","LHFPL3","SPOCK3","CDH10","DPP10","SLC8A1","TBC1D1","ADD3","UTRN","NRXN1","RIPOR2","BCL11B","RASGRP1","TMEFF2","ARHGAP22","TRPM3","CEP126","SLC1A2","LMO3","BRINP3","ALCAM","PLCB4","ARPP21","DOCK4","GRID2","HDAC4","STXBP5","SEC24D","TEAD1","PRKCE","SEL1L3","RAP1GAP2","NRP1","POU6F2","BICD1","ASIC2","GREB1L","CHST11","NOS1AP","NFIB","AOPEP","UST","SLC35F1","CACNA2D3","CADPS","SPARCL1","GRK3","GSG1L","DMD","ERC1","EPHA3","DNAH14","LRP1B","SLC24A2","DDAH1","WWOX","GAB2","PRKG1","BCL11A","STARD13","KCNH5","VWC2L","DOK6","KCNMB2","PDE4B","CNTN4","SLC39A11","MARCHF1","CLSTN2","DPYD","LHFPL6","SLIT3","NKAIN2","GPC5","MEIS2","CDH9","KAZN","MT-CO3"
"GO:CC","synaptic membrane","GO:0097060","false","0.000004407885170461821","5.355769727787025","399","148","16","22097",,,,,,,,,,,"ISS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,"IEA",,,,"IEA",,,,,"IEA","ISS,TAS,IEA",,,,,,,,"IDA",,,,,,,"IBA,IEA",,,,,,,,"IEA",,,,,,,,,,,,,,,"IEA","IEA","TAS,IEA",,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,"IEA",,
"GO:CC","neuron to neuron synapse","GO:0098984","false","0.00006754886611598142","4.170381936704207","366","148","14","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,"IEA",,,,,,,,,,,"IEA",,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,"ISS",,"IBA,IEA",,"NAS",,,,,,,,,,,,"IEA",,,"IBA,IEA",,"IEA",,,,,,,,,,,,,,,,,,,,,"IEA","IEA",,,,,,,,,,,,,,,,"IEA",,,,"IEA",,,,,,,,,
"GO:CC","postsynaptic membrane","GO:0045211","false","0.00014792741775515917","3.8299513237974887","278","148","12","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,"IEA",,,,"IEA",,,,,"IEA",,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,"IEA",,,,,,,,,,,,,,,"IEA","IEA",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,"IEA",,
"GO:CC","monoatomic ion channel complex","GO:0034702","true","0.00023163259581641328","3.6352003258292687","346","148","13","22097",,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,"IEA",,,,,,"IBA",,,,"IBA,IEA",,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,"IPI,IBA",,,,,,,,,,,,,,,,,,,,"ISS,IEA",,"ISS,IEA",,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,"IEA","IBA,IEA",,"IDA,IBA,IEA","ISS,IEA",,,,,,,,,,,,,
"GO:CC","postsynaptic specialization","GO:0099572","false","0.00023163259581641328","3.6352003258292687","346","148","13","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,"IEA",,,,,,,,,,,"IEA",,,"IBA,IEA",,,,,,,,,,,,,,,,,,,"IEA",,"ISS",,"IBA,IEA",,,,,,,,,,,,,,"IEA",,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IEA","IEA",,,,,,,,,,,,,,,,"IEA",,,,"IEA",,,,,,,,,
"GO:CC","postsynaptic density","GO:0014069","false","0.0006092890905952168","3.2151765979082145","318","148","12","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,"IEA",,,,,,,,,,,"IEA",,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,"ISS",,"IBA,IEA",,,,,,,,,,,,,,"IEA",,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IEA","IEA",,,,,,,,,,,,,,,,"IEA",,,,"IEA",,,,,,,,,
"GO:CC","asymmetric synapse","GO:0032279","false","0.0010125792411771752","2.994570980301553","334","148","12","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,"IEA",,,,,,,,,,,"IEA",,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,"ISS",,"IBA,IEA",,,,,,,,,,,,,,"IEA",,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IEA","IEA",,,,,,,,,,,,,,,,"IEA",,,,"IEA",,,,,,,,,
"GO:CC","plasma membrane region","GO:0098590","false","0.001366812162721768","2.864291165240961","1266","148","24","22097",,,,,,,,,,"IDA","ISS,IEA",,,"IEA",,,,,,,,,,,,,,,,"IEA",,,,,,"IBA,IEA",,"IDA,IEA",,,,"IEA",,,,,,,,,,,"IDA",,,"IBA,IEA",,,,,,,,,,,,,"ISS",,"IEA",,,,"IEA",,,,,"IDA,IEA","ISS,TAS,IEA","IEA",,,,,,,"IDA,IEA",,,,,,,"IBA,IEA",,,,,,,,"IEA",,,,,,"ISS,IEA",,,,,,,,,"IEA","IDA,IEA","TAS,IEA",,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,"IEA",,
"GO:CC","somatodendritic compartment","GO:0036477","false","0.001526305570040534","2.8163585108782656","848","148","19","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,"IEA",,"IBA","IEA",,,"ISS",,,,,,,,"ISS,IEA",,,,,,,,,,,,"IEA",,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,"ISS",,,,"ISS,IEA",,,,,,,,,,"IBA,IEA","IEA","IEA",,,"ISS,IEA",,,,,,,,,,,"IEA",,,,,,,,,,,,,"IEA",,"IBA",,,,,,,,,,,,,,"IEA",,,,"IEA",,,,,,,,,
"GO:CC","sarcolemma","GO:0042383","false","0.0018666592855543672","2.7289349449898976","141","148","8","22097",,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,"ISS,IBA,TAS",,,"IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IEA",,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,
