"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","GRIK1","RALYL","SST","STXBP6","GRM1","TRHDE","BCL11A","CRB1","GRIK3","EPB41L2","UST","KIF26B","GRIN3A","GRID2","NETO1","SPOCK3","WLS","SATB1","CDH9","PLCH1","DMD","GPC6","TMTC1","CDH8","CACNA2D3","SORBS2","KIAA1217","MAN1A1","ROBO2","NRXN3","GPM6A","ST6GALNAC5","TSHZ3","GRIA3","DAPK1","RUNX1T1","RASGRF2","SOX6","RYR2","CTNNA2","SHISA6","NETO2","LHFPL3","RGS6","SLC8A1","TIAM1","RBFOX1","XKR4","ROBO1","TMEFF2","PCDH15","PDE4B","ADCY2","SLC24A2","SYNPR","PPP2R2B","GRIK2","TENM3","OXR1","PACRG","TENM2","PDE1C","ASTN2","LRRTM4","NPAS3"
"GO:MF","calcium ion transmembrane transporter activity","GO:0015085","true","0.0033037442560230963","2.480993578935418","145","64","6","20212",,,,,,,,,,,,,"IEA",,,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,
"GO:MF","gated channel activity","GO:0022836","false","0.003335512566976708","2.476837418747462","315","64","8","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,"IBA",,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","false","0.005334663066599662","2.272893005093763","445","64","9","20212","IDA,IBA,TAS",,,,,,,,"IDA,IBA",,,,"IEA",,,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,"IDA,IBA,TAS,IEA",,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","monoatomic cation channel activity","GO:0005261","false","0.005336626471813265","2.2727331938438553","336","64","8","20212","IDA,IBA,TAS",,,,,,,,"IDA,IBA",,,,"IEA",,,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IBA,IEA",,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.005631330436493053","2.249388988280531","569","64","10","20212","IDA,IBA,TAS",,,,,,,,"IDA,IBA",,,,"IDA,ISS,IEA",,,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,"IDA,IBA",,,,,"IDA,ISS,IBA,IEA",,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,"IDA,IBA,TAS,IEA",,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","calcium ion binding","GO:0005509","true","0.007877590291743935","2.103606610308019","726","64","11","20212",,,,,,,,"IEA",,,,,,,,"IEA",,,"IBA,IEA","IEA",,,,"IBA,IEA",,,,"TAS,IEA",,,,,,,,,,,"IEA",,,,,,"ISS",,,,,,"IEA",,,,,,,,,,"IEA",,"IDA",,
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","false","0.007979014661198026","2.0980507369232124","727","64","11","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,"IDA,IMP,IBA,NAS,IEA",,,,,"IDA,ISS,IBA,IEA",,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,"IDA,IBA,TAS,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:MF","ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","GO:0099507","false","0.00831542598610564","2.0801154976559775","16","64","3","20212",,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,NAS",,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,
"GO:MF","ligand-gated sodium channel activity","GO:0015280","false","0.010074477654896562","1.9967774620580103","17","64","3","20212","IDA,IBA,TAS",,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","carboxylic acid transmembrane transporter activity","GO:0046943","false","0.010631563260387902","1.97340287231169","178","64","6","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IEA","IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","organic acid transmembrane transporter activity","GO:0005342","false","0.010973273946070885","1.959663778571001","179","64","6","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IEA","IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","calcium channel activity","GO:0005262","false","0.025898785933832467","1.586720594011233","127","64","5","20212",,,,,,,,,,,,,"IEA",,,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,
"GO:MF","ionotropic glutamate receptor binding","GO:0035255","true","0.029515307180554735","1.5299526924995153","24","64","3","20212",,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IEA","IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","false","0.029851384124482648","1.5250355270576004","692","64","10","20212","IDA,IBA,TAS",,,,,,,,"IDA,IBA",,,,"IDA,ISS,IEA",,,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,"IDA,IBA",,,,,"IDA,ISS,IBA,IEA",,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,"IDA,IBA,TAS,IEA",,,"IDA,IBA,TAS,IEA",,,,,,,,
