"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","COL5A2","GRIK1","GLIS3","CUX2","NTNG1","CNTNAP2","MAGI2","PTPRM","CA10","RIT2","HDAC9","TAFA5","TMEM132C","CACNA2D3","ADCY8","ARL15","MAST4","ATRNL1","FMN1","ARHGAP26","RFX3","AUTS2","GRM7","LIMCH1","PLCB1","TMEM132D","NR3C2","SLC44A5","FRMD5","TAFA1","GRIA3","ST6GALNAC5","SGCD","RHBDL3","SCHIP1","PTPRK","NPAS3","SNTG1","FAT3","OXR1","SLC35F3","KLF12","KCNB2","SLC38A11","LHFPL6","KIRREL3","UNC5D","CADPS2","HS6ST3","GPC6","MYRIP","EPHA6","ROBO1","GRM8","PRKG1","LRRTM4","LSAMP","DCC","RORB","ROBO2"
"GO:CC","cell periphery","GO:0071944","false","0.025650589140963836","1.5909026555918788","6228","60","31","22097","IMP,HDA,IBA,NAS","IDA,IBA,TAS,IEA",,,"IDA,ISS,TAS,IEA","IDA,NAS,IEA","IDA,IEA","IDA,NAS,IEA",,"IDA,ISS,IBA,TAS,IEA",,,,"IBA","ISS,TAS,IEA",,,,"IEA",,,,"IDA,IMP,ISS,TAS,NAS,IEA",,,,,"IDA,TAS,IEA",,,"ISS,IBA,TAS,IEA",,"IDA,IBA,TAS,IEA",,"IBA","IDA,NAS,IEA",,"IDA,IBA,TAS","IEA",,,,"ISS,IBA,TAS,IEA",,,"TAS,IEA","IEA",,,"TAS,IEA","IBA,IEA","TAS,IEA","IDA,TAS,IEA","TAS,IEA","IDA,IEA","IBA,IEA","TAS,IEA","IBA,TAS,IEA",,"ISS,TAS,IEA"
"GO:CC","plasma membrane","GO:0005886","false","0.04066681760807225","1.390759812088409","5742","60","29","22097",,"IDA,IBA,TAS,IEA",,,"IDA,ISS,TAS,IEA","IDA,NAS,IEA","IDA,IEA","IDA,NAS,IEA",,"IDA,ISS,IBA,TAS,IEA",,,,"IBA","ISS,TAS,IEA",,,,"IEA",,,,"IMP,ISS,TAS,NAS,IEA",,,,,"IDA,TAS,IEA",,,"ISS,IBA,TAS,IEA",,"IDA,IBA,TAS,IEA",,"IBA","IDA,NAS,IEA",,"IDA,IBA,TAS","IEA",,,,"ISS,IBA,TAS,IEA",,,"TAS,IEA","IEA",,,"TAS,IEA",,"TAS,IEA","IDA,TAS,IEA","TAS,IEA","IDA,IEA","IEA","TAS,IEA","IBA,TAS,IEA",,"ISS,TAS,IEA"
"KEGG","Glutamatergic synapse","KEGG:04724","false","0.00006437056217531469","4.191312697977278","115","26","6","8484",,"KEGG",,,,,,,,,,,,,"KEGG",,,,,,,,"KEGG",,"KEGG",,,,,,"KEGG",,,,,,,,,,,,,,,,,,,,,,,"KEGG",,,,,,
"KEGG","Axon guidance","KEGG:04360","false","0.0008979977019764863","3.046724774713774","181","26","6","8484",,,,,"KEGG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KEGG",,,,,"KEGG","KEGG",,,,,"KEGG",,"KEGG"
"KEGG","Circadian entrainment","KEGG:04713","false","0.01268715365830894","1.8966358002176527","97","26","4","8484",,,,,,,,,,,,,,,"KEGG",,,,,,,,,,"KEGG",,,,,,"KEGG",,,,,,,,,,,,,,,,,,,,,,,,"KEGG",,,,,
"KEGG","Long-term depression","KEGG:04730","false","0.04752228689229436","1.3231026681782414","59","26","3","8484",,,,,,,,,,,,,,,,,,,,,,,,,"KEGG",,,,,,"KEGG",,,,,,,,,,,,,,,,,,,,,,,,"KEGG",,,,,
"REAC","Regulation of commissural axon pathfinding by SLIT and ROBO","REAC:R-HSA-428542","false","0.000663877617757272","3.1779119730888348","9","32","3","10842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REAC",,,,,"REAC",,"REAC"
"REAC","Regulation of cortical dendrite branching","REAC:R-HSA-8985801","false","0.017278156796755484","1.762502589154243","4","32","2","10842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REAC",,,,,,,"REAC"
"REAC","Neuronal System","REAC:R-HSA-112316","false","0.04571836580711807","1.3399093017595916","400","32","7","10842",,"REAC",,,,,,,,,,,,"REAC","REAC",,,,,,,,,,"REAC",,,,,,"REAC",,,,,,,,,,,,"REAC",,,,,,,,,,,,,"REAC",,,,
"WP","Neuroinflammation and glutamatergic signaling","WP:WP5083","false","0.0003661219625927592","3.4363742182729284","140","25","6","8286",,"WP",,,,,,,,,,,,,"WP",,,,,,,,"WP",,"WP",,,,,,"WP",,,,,,,,,,,,,,,,,,,,,,,"WP",,,,,,
"HPA","hippocampus; neuronal projections[≥Low]","HPA:0250141","false","0.04542692094533807","1.3426866988394937","9","29","2","11019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enhanced",,,,,,,,,,,,,,,,,,,,,,,,,,,"Enhanced",,
