"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","COL5A2","GRIK1","GLIS3","CUX2","NTNG1","CNTNAP2","MAGI2","PTPRM","CA10","RIT2","HDAC9","TAFA5","TMEM132C","CACNA2D3","ADCY8","ARL15","MAST4","ATRNL1","FMN1","ARHGAP26","RFX3","AUTS2","GRM7","LIMCH1","PLCB1","TMEM132D","NR3C2","SLC44A5","FRMD5","TAFA1","GRIA3","ST6GALNAC5","SGCD","RHBDL3","SCHIP1","PTPRK","NPAS3","SNTG1","FAT3","OXR1","SLC35F3","KLF12","KCNB2","SLC38A11","LHFPL6","KIRREL3","UNC5D","CADPS2","HS6ST3","GPC6","MYRIP","EPHA6","ROBO1","GRM8","PRKG1","LRRTM4","LSAMP","DCC","RORB","ROBO2"
"GO:BP","axonogenesis","GO:0007409","false","0.009486075305966454","2.0229134319890316","466","57","9","21031",,,,,"ISS,IEA",,,"IDA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","false","0.010341196961293823","1.985429190100951","750","57","11","21031",,"IBA,TAS",,"ISS,IEA","IEA",,,,,"TAS",,,,,"ISS,IEA",,,,,,,,"IDA,IBA",,"IEA",,,,,,"IBA",,,,,,,,,,,,,,,,,"IEA",,,,,,"IBA",,,,"IEA",,
"GO:BP","chemical synaptic transmission","GO:0007268","true","0.010341196961293823","1.985429190100951","750","57","11","21031",,"IBA,TAS",,"ISS,IEA","IEA",,,,,"TAS",,,,,"ISS,IEA",,,,,,,,"IDA,IBA",,"IEA",,,,,,"IBA",,,,,,,,,,,,,,,,,"IEA",,,,,,"IBA",,,,"IEA",,
"GO:BP","trans-synaptic signaling","GO:0099537","false","0.011157047789552472","1.9524507066816517","756","57","11","21031",,"IBA,TAS",,"ISS,IEA","IEA",,,,,"TAS",,,,,"ISS,IEA",,,,,,,,"IDA,IBA",,"IEA",,,,,,"IBA",,,,,,,,,,,,,,,,,"IEA",,,,,,"IBA",,,,"IEA",,
"GO:BP","regulation of cell migration","GO:0030334","false","0.013895643657597517","1.8571213315445045","934","57","12","21031",,,,,"ISS,IEA",,"ISS","IMP",,,"IMP","IEA",,,,,,,,,,,,"IMP","ISS,IEA",,,,"IMP",,,,,,,"IDA",,,,,,,,,,,"IEA",,,,,,"IMP",,"IDA,IEA",,,,,
"GO:BP","modulation of chemical synaptic transmission","GO:0050804","false","0.01400377819490987","1.853754776619485","489","57","9","21031",,"IBA,TAS",,"ISS,IEA","IEA",,,,,,,,,,"ISS,IEA",,,,,,,,"IBA",,"IEA",,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,"IEA",,
"GO:BP","regulation of trans-synaptic signaling","GO:0099177","false","0.014236200018700166","1.8466059187851125","490","57","9","21031",,"IBA,TAS",,"ISS,IEA","IEA",,,,,,,,,,"ISS,IEA",,,,,,,,"IBA",,"IEA",,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,"IEA",,
"GO:BP","synaptic signaling","GO:0099536","false","0.015012498352723943","1.8235470272428553","780","57","11","21031",,"IBA,TAS",,"ISS,IEA","IEA",,,,,"TAS",,,,,"ISS,IEA",,,,,,,,"IDA,IBA",,"ISS,IEA",,,,,,"IBA",,,,,,,,,,,,,,,,,"IEA",,,,,,"IBA",,,,"IEA",,
"GO:BP","negative regulation of negative chemotaxis","GO:0050925","true","0.01640253639696621","1.7850889898770768","2","57","2","21031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA",,,,,,,"IDA"
"GO:BP","cell development","GO:0048468","false","0.016429932336110176","1.7843642251294232","2819","57","21","21031",,,,"ISS,IEA","ISS,IEA","ISS,NAS","ISS","IDA,IMP",,"IGI,ISS,IBA,IEA","ISS,TAS",,,,,,,,,,"ISS,IEA","ISS","IMP",,"IEA",,,,,,,,"IEA",,,,,,"IEA",,,,,,,"ISS,IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA","ISS,IEA","IDA,ISS,IEA"
"GO:BP","cell communication","GO:0007154","true","0.01753938058453819","1.755985748111776","6537","57","34","21031",,"IBA,TAS,IEA",,"ISS,IEA","IEA","NAS","IDA,ISS,IBA,NAS","IDA",,"IDA,ISS,IBA,TAS,NAS,IEA",,"IDA,IBA,IEA",,,"ISS,IBA,TAS,IEA",,"IBA","IEA",,"TAS,IEA","ISS,IEA","ISS","IDA,IBA,IEA",,"IDA,ISS,IBA,TAS,NAS,IEA",,"IMP,IBA,TAS",,,"ISS,IEA","IBA,TAS,IEA",,"IEA",,"IBA","IDA",,"TAS",,,,,,,,,"IEA","IEA",,"IEA","ISS","IBA,IEA","IMP,ISS,IEA","IDA,IMP,IBA,IEA","TAS,IEA",,,"IEA","IEA","ISS"
"GO:BP","cell adhesion","GO:0007155","true","0.018573788817452554","1.731099496654704","1512","57","15","21031",,,,,"IGI,IEA","IEA",,"IDA,IEA",,,,,,,,,,,"IEA",,,,,"IMP,IBA",,,,,"IMP",,,,,,,"IMP,IEA",,,"IBA,IEA",,,,,,,"ISS,IBA,IEA","IDA",,,,,,"IDA,TAS",,"IMP",,"IEA","IBA",,"IDA,IBA,IEA"
"GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules","GO:0098742","true","0.023401336155735017","1.6307593447908837","280","57","7","21031",,,,,"IGI,IEA",,,"IDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,"ISS,IEA","IDA",,,,,,"IDA",,,,,,,"IDA"
"GO:BP","regulation of cell motility","GO:2000145","false","0.026601735627411614","1.5750900269472399","996","57","12","21031",,,,,"ISS,IEA",,"ISS","IMP",,,"IMP","IEA",,,,,,,,,,,,"IMP","ISS,IEA",,,,"IMP",,,,,,,"IDA",,,,,,,,,,,"IEA",,,,,,"IMP",,"IDA,IEA",,,,,
"GO:BP","anatomical structure morphogenesis","GO:0009653","false","0.029895196778771737","1.5243985835834044","2684","57","20","21031","IDA,IMP",,,"ISS,IEA","ISS,IEA","ISS","NAS","IDA,IMP",,,"IMP","IEA",,,,,,,"IEA",,,"ISS",,,,,,,,,,,"IEA",,,,,,"IEA",,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,IMP,ISS,IEA",,"IEA",,,"IBA,TAS,IEA","ISS,IEA","IDA,ISS,IEA"
