gene
Fam20a
Epha10
Wdr64
Arhgap12
Hapln4
Pard3
Caprin2
Dner
Ptpro
Chst15
Rap1gap
Acss2
Adam23
Hmgcr
Parp8
Dlgap4
Pals2
Abcb9
Fam110b
Mpp7
Herc4
Mroh1
Slco3a1
Usp33
Rph3a
Arhgap23
Luzp1
Pde4a
Neo1
AABR07049060.1
Pdss2
Rnf112
Sanbr
Zfp827
Lrrk2
Trak2
Flrt1
Ttll5
Gmds
Camkmt
Ogdh
Eps15l1
Sptbn1
Srgap2
Macf1
