gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Thsd7b	2.05484451555965	8.59781466696326	107.182244285122	0.0	0.0	3795.52646669089	4.154988590974954
Cdh9	1.0210210835338	7.89941191851864	100.806705825137	0.0	0.0	3479.90197185857	2.0293547499191584
Galnt14	1.18880170648819	8.02257290515471	96.8478225302566	0.0	0.0	3283.67514194289	2.279633196046882
Adamts3	1.01477498926349	8.02195644274608	92.6429857793915	0.0	0.0	3075.47332305706	2.0205877263051657
Zfp804a	1.53608731059063	8.32124536973538	86.7260778307971	0.0	0.0	2783.69556482604	2.9000691699932886
Sulf1	0.56838037548488	7.76175131953135	83.2430981802813	0.0	0.0	2613.08525922659	1.4828579229447738
Rspo2	0.882769144205336	7.92526635737897	82.8362779433594	0.0	0.0	2593.23161814711	1.843911155005988
Dcc	2.04299807895854	8.79965112563766	80.9877305331688	0.0	0.0	2503.24501102444	4.121010327085705
Sema3e	1.19250473475699	8.11777047344407	76.1625969620413	0.0	0.0	2270.42308866202	2.285491945709996
Clstn2	1.49666808127232	9.96271202451689	72.5510627890678	0.0	0.0	2098.57634077101	2.821902381194457
Plppr1	0.786480536639622	7.98411543435964	68.9765204045998	0.0	0.0	1931.02102228774	1.7248615157517442
Megf11	0.72007364508683	7.89726083086755	64.4848512379335	0.0	0.0	1724.78459941665	1.6472661201920187
Runx1t1	1.02302705443709	8.56640056870446	63.5491015861764	0.0	0.0	1682.50820571959	2.032178394475662
Gabrg3	1.43083390831743	9.38255615227505	62.6414983732412	0.0	0.0	1641.75093888656	2.6960250630753784
Zfp804b	1.94946546475018	9.59852219009948	58.3138394104354	0.0	0.0	1451.04636431248	3.862314018407859
Samd5	1.36908772975077	8.75087616749452	58.1000474297503	0.0	0.0	1441.7921094391	2.583071771466041
Sdk1	1.48980901215762	8.51398256347259	56.0909816813468	0.0	0.0	1355.65692630366	2.8085179277223786
Cdh13	1.47195749436494	8.80575895519002	55.6561676569506	0.0	0.0	1337.21865490882	2.773980208220012
Atp2b4	0.769332465788263	8.21007188737213	55.6159838036836	0.0	0.0	1335.51842238936	1.7044809386465107
Enox1	1.03321434184639	9.52035278992473	55.2851384056378	0.0	0.0	1321.54432715316	2.0465789780352988
Shisa9	1.19539588164148	9.15688868908746	55.1354842653796	0.0	0.0	1315.2376909122	2.2900766417352396
Dok5	0.62604004953932	8.04971122820299	54.2075899376091	0.0	0.0	1276.33810974731	1.543323017458892
Ccnd3	0.690721706681202	8.09868613791477	51.4383222194848	0.0	0.0	1162.41378332161	1.6140907637274187
Grik3	0.664051543048411	7.97587470265106	50.7606776964266	0.0	0.0	1135.05486434458	1.5845262310785053
Spon1	0.709266896219397	8.01572872302785	47.922015967852	0.0	0.0	1022.81058514078	1.6349730963450102
Plxna4	0.942927250579011	9.7100464283852	46.7888037842917	0.0	0.0	979.116946885453	1.922424914026864
Celf4	0.856439396208154	9.41236253042174	45.7017284628318	0.0	0.0	937.829393459884	1.8105642785595488
Sash1	0.691204182460307	8.10676977411087	45.383881072201	0.0	0.0	925.876194711129	1.6146306490879736
Gria1	1.02265547035595	9.98894608243987	44.5476419420443	0.0	0.0	894.689916617674	2.0316550490128793
Me3	0.765118027613473	8.78629563909995	43.8227664232487	0.0	0.0	867.969078015425	1.6995090302863638
Sntb2	0.7740805533708	8.66015447825622	41.9895347416566	0.0	0.0	801.724340664616	1.7100998371273155
Chrm2	0.596882086667528	8.05037485286249	41.6700636809951	0.0	0.0	790.38042426072	1.512444378196194
Grid2	1.24651610474248	9.66306831008809	41.136041855081	0.0	0.0	771.553910181798	2.3726776405243277
Epha3	0.69035216482049	8.2597565007664	41.0733652176082	0.0	0.0	769.3555191691	1.6136773723305475
Mgat5	0.667069519260227	8.90270601658005	40.9180930738257	0.0	0.0	763.919547566774	1.5878443736024728
Slc35f4	0.853107711401949	8.92129466945449	40.5816442999893	0.0	0.0	752.190885633846	1.8063878799257036
