gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Unc5d	2.72236223586304	8.90179317390518	217.327949255124	0.0	0.0	6388.26085949288	6.599525207923766
Fstl4	2.67413745868954	8.88267767266456	213.78876501402	0.0	0.0	6303.98852243634	6.3825700150488505
Cacna2d3	2.60016302149099	9.12619103507997	181.02289548331	0.0	0.0	5468.96423644955	6.063551395826292
Schip1	3.16012776547081	9.7302169804805	173.642608020653	0.0	0.0	5266.03951318639	8.939088717687323
Rasgrf2	1.45525296985592	8.44317872631623	137.977205149404	0.0	0.0	4197.98361423382	2.7420463728685274
Pdzrn3	1.9225165532902	8.77513088190111	135.509729324879	0.0	0.0	4118.4125599331	3.790837339105294
Arl15	1.64020579822954	8.6998896871586	111.411437454947	0.0	0.0	3301.55687696697	3.1171029368708085
Zfhx4	0.923912316672441	8.28613266901053	103.784213813244	0.0	0.0	3028.58689149604	1.8972533165556942
Kcnq5	2.39187003607297	10.6094327829265	102.550304184709	0.0	0.0	2983.83191672772	5.248372202029927
Pip5k1b	1.20726993759994	8.43305558631694	101.249268161748	0.0	0.0	2936.47197715539	2.3090028240237643
Tcerg1l	0.94887247068359	8.30544947102349	100.043991322803	0.0	0.0	2892.4455534042	1.930363404666483
Rtn4rl1	0.959218608238947	8.30955086389369	99.8392364083164	0.0	0.0	2884.95196606678	1.9442565623380588
Tmem178b	1.77581798314666	9.5683225705142	97.9449523351832	0.0	0.0	2815.43326251989	3.4243210832812574
Alcam	1.45019610525747	8.6781931168678	97.6576419955958	0.0	0.0	2804.85950800154	2.7324519099251603
Cux2	1.11550243328714	8.32864068416247	96.5494459773343	0.0	0.0	2764.00382891984	2.166704536663343
AC125757.1	1.72120057624348	9.06480437843226	96.1940501329727	0.0	0.0	2750.87793208387	3.297106700927711
Ntm	2.22089947195031	10.4867349004569	95.2991289058489	0.0	0.0	2717.77607838117	4.661839940790573
Boc	0.9881411500797	8.39320748050016	92.2511987107274	0.0	0.0	2604.52917072046	1.9836275256960498
Kcnh5	1.60058681981801	8.98985404057844	91.211881731415	0.0	0.0	2565.74385096371	3.0326664268390298
Srgap3	1.21583548411942	8.54249620282877	89.6287909591925	0.0	0.0	2506.51336465587	2.3227525766345716
Tafa2	1.67558851733896	8.65612915841827	88.7817687547903	0.0	0.0	2474.75101517088	3.194496407824651
Trpm3	1.58070478285137	9.13818414457187	81.1149765504897	0.0	0.0	2185.42847365236	2.9911593763408186
Cntn5	2.05013812958941	9.70318284765807	80.8188218257814	0.0	0.0	2174.20204238368	4.1414561965269225
Ptprt	1.60338374387346	8.92879390235821	77.6850214194106	0.0	0.0	2055.28020924793	3.0385514994511107
Ntng1	0.787221345970456	8.26038850441388	76.3192162065029	0.0	0.0	2003.40600516776	1.7257474421549202
Lrrtm4	1.88282854837563	10.1379750652889	76.2364753473667	0.0	0.0	2000.263145192	3.6879741622944104
Shisa6	0.72203969882228	8.20922418219001	74.8656104822973	0.0	0.0	1948.19269346153	1.6495124864398096
Slc24a4	0.664894219064881	8.20638553215988	74.3770327259131	0.0	0.0	1929.63715623267	1.5854520208310032
Cdh7	0.631935896951938	8.1879302244646	73.797731367222	0.0	0.0	1907.63944200896	1.5496430053380008
